"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 04 14:30:27 GMT 2024","Mon Mar 04 14:30:29 GMT 2024","2019","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","openRegistrationPage","Open Send a registration page",""
"passed","Mon Mar 04 14:31:00 GMT 2024","Mon Mar 04 14:31:04 GMT 2024","3521","Monkkee Regression","Regression General","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"passed","Mon Mar 04 14:30:17 GMT 2024","Mon Mar 04 14:30:19 GMT 2024","2356","Monkkee Regression","Regression General","tests.HeaderFooterTest","tests.HeaderFooterTest","goToFooterSection","Verify redirections of footer buttons",""
"passed","Mon Mar 04 14:31:09 GMT 2024","Mon Mar 04 14:31:14 GMT 2024","5376","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","createEntryWithFormatting","Create an entry with formatting",""
"passed","Mon Mar 04 14:33:07 GMT 2024","Mon Mar 04 14:33:12 GMT 2024","4925","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","searchForSingleEntry","Search a created entry",""
"passed","Mon Mar 04 14:30:04 GMT 2024","Mon Mar 04 14:30:07 GMT 2024","2861","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:30:33 GMT 2024","Mon Mar 04 14:30:37 GMT 2024","3355","Monkkee Regression","Regression General","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"passed","Mon Mar 04 14:30:11 GMT 2024","Mon Mar 04 14:30:13 GMT 2024","1829","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:30:14 GMT 2024","Mon Mar 04 14:30:16 GMT 2024","1986","Monkkee Regression","Regression General","tests.HeaderFooterTest","tests.HeaderFooterTest","goToFooterSection","Verify redirections of footer buttons",""
"passed","Mon Mar 04 14:30:23 GMT 2024","Mon Mar 04 14:30:26 GMT 2024","3074","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:30:29 GMT 2024","Mon Mar 04 14:30:33 GMT 2024","3552","Monkkee Regression","Regression General","tests.HeaderFooterTest","tests.HeaderFooterTest","goToSHeaderSection","Verify redirections of header buttons",""
"failed","Mon Mar 04 14:30:59 GMT 2024","Mon Mar 04 14:31:13 GMT 2024","13727","Monkkee Regression","Regression Tags","tests.TagsTest","tests.TagsTest","findTag","Find existing tag",""
"passed","Mon Mar 04 14:30:37 GMT 2024","Mon Mar 04 14:30:40 GMT 2024","2202","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Mon Mar 04 14:30:04 GMT 2024","Mon Mar 04 14:30:11 GMT 2024","6394","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","addLinkToNewEntry","Add link",""
"broken","Mon Mar 04 14:30:21 GMT 2024","Mon Mar 04 14:30:25 GMT 2024","3988","Monkkee Regression","Regression Tags","tests.TagsTest","tests.TagsTest","deleteAllTags","Delete all tags",""
"passed","Mon Mar 04 14:31:47 GMT 2024","Mon Mar 04 14:31:51 GMT 2024","3413","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","goBackToEntries","Go back to Entries page",""
"passed","Mon Mar 04 14:30:28 GMT 2024","Mon Mar 04 14:30:44 GMT 2024","15266","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","cancelLinkCreationInNewEntry","Cancel link creation",""
"passed","Mon Mar 04 14:30:47 GMT 2024","Mon Mar 04 14:30:50 GMT 2024","3484","Monkkee Regression","Regression General","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"passed","Mon Mar 04 14:30:56 GMT 2024","Mon Mar 04 14:31:00 GMT 2024","3434","Monkkee Regression","Regression General","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"passed","Mon Mar 04 14:31:15 GMT 2024","Mon Mar 04 14:31:31 GMT 2024","16249","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","crudEntry","CRUD a simple entry",""
"passed","Mon Mar 04 14:30:18 GMT 2024","Mon Mar 04 14:30:21 GMT 2024","2942","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:32:17 GMT 2024","Mon Mar 04 14:32:32 GMT 2024","14798","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","removeLinkFromNewEntry","Remove link",""
"failed","Mon Mar 04 14:31:18 GMT 2024","Mon Mar 04 14:31:32 GMT 2024","13618","Monkkee Regression","Regression Tags","tests.TagsTest","tests.TagsTest","removeTag","Remove assigned tag",""
"passed","Mon Mar 04 14:30:41 GMT 2024","Mon Mar 04 14:30:43 GMT 2024","2133","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Mon Mar 04 14:30:04 GMT 2024","Mon Mar 04 14:30:07 GMT 2024","3119","Monkkee Regression","Regression General","tests.HeaderFooterTest","tests.HeaderFooterTest","goToFooterSection","Verify redirections of footer buttons",""
"passed","Mon Mar 04 14:30:09 GMT 2024","Mon Mar 04 14:30:13 GMT 2024","3593","Monkkee Regression","Regression General","tests.HeaderFooterTest","tests.HeaderFooterTest","goToFooterSection","Verify redirections of footer buttons",""
"passed","Mon Mar 04 14:30:09 GMT 2024","Mon Mar 04 14:30:10 GMT 2024","1729","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:31:32 GMT 2024","Mon Mar 04 14:31:46 GMT 2024","14466","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","expandToolbar","Expand a toolbar",""
"passed","Mon Mar 04 14:30:20 GMT 2024","Mon Mar 04 14:30:23 GMT 2024","2328","Monkkee Regression","Regression General","tests.HeaderFooterTest","tests.HeaderFooterTest","goToFooterSection","Verify redirections of footer buttons",""
"passed","Mon Mar 04 14:30:24 GMT 2024","Mon Mar 04 14:30:28 GMT 2024","3750","Monkkee Regression","Regression General","tests.HeaderFooterTest","tests.HeaderFooterTest","goToSHeaderSection","Verify redirections of header buttons",""
"failed","Mon Mar 04 14:30:26 GMT 2024","Mon Mar 04 14:30:41 GMT 2024","14149","Monkkee Regression","Regression Tags","tests.TagsTest","tests.TagsTest","deleteTag","Delete tag by name",""
"passed","Mon Mar 04 14:30:14 GMT 2024","Mon Mar 04 14:30:17 GMT 2024","2464","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:33:03 GMT 2024","Mon Mar 04 14:33:06 GMT 2024","3117","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","searchForNonExistingEntry","Search for non-existing entry",""
"passed","Mon Mar 04 14:30:12 GMT 2024","Mon Mar 04 14:30:27 GMT 2024","15529","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","addPicture","Add a picture",""
"passed","Mon Mar 04 14:31:14 GMT 2024","Mon Mar 04 14:31:17 GMT 2024","3540","Monkkee Regression","Regression Tags","tests.TagsTest","tests.TagsTest","goHomeFromTagsPage","Go home from Tags page",""
"passed","Mon Mar 04 14:32:33 GMT 2024","Mon Mar 04 14:32:54 GMT 2024","21492","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","removePicture","Remove a picture",""
"passed","Mon Mar 04 14:32:55 GMT 2024","Mon Mar 04 14:33:02 GMT 2024","6560","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","resetFilterWithoutEntries","Reset filter with empty search results",""
